experiment,dataset,pair,method,check_id,requirement,status,evidence_files,details
dynasemble_boundary,MKG-W,NativE + AdaMF-MAT,DynaSemble,D01,One selector per paired seed is trained on DEV only,PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/lock.json | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/dev_query_rows.csv | outputs\paper_a_safe_correction\boundary_pairs\mkg_w\native_adamf\dynasemble\selectors\seed1.pt | outputs\paper_a_safe_correction\boundary_pairs\mkg_w\native_adamf\dynasemble\selectors\seed2.pt | outputs\paper_a_safe_correction\boundary_pairs\mkg_w\native_adamf\dynasemble\selectors\seed3.pt,training_split=dev_only; three seed-specific selector hashes match; TEST excluded from training/selection.
dynasemble_boundary,MKG-W,NativE + AdaMF-MAT,DynaSemble,D02,TEST consumes the immutable DEV lock without configuration drift,PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/lock.json | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/dev_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/test_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/test_summary.json | outputs/mkg_w/anchored_dynamic/native_adamf_seed123/full_ranking/selection.json | docs/protocols/paper_a_boundary_pair_protocol.md,lock_sha256=a1bc0539c15ec0a3e62ee6a238b7052b190814de3d6b5cf4dbf8133d33d1c494; summary_lock_match=True; method_config_match=True; Global selection hash match=True; protocol hash match=True.
dynasemble_boundary,MKG-W,NativE + AdaMF-MAT,DynaSemble,D03,"TEST model pair, seeds, selector hashes, Global alpha, and exact base ranking inputs match the DEV lock",PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/lock.json | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/test_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/test_summary.json | outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/test_full_ranking/test_query_rows.csv,"Validated 25,644 TEST rows; exact-reference rank mismatches=0; max RR error=0; reference hash match=True."
dynasemble_boundary,MKG-W,NativE + AdaMF-MAT,DynaSemble,D04,Frozen base-model run assets match the hashes recorded before TEST,PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/lock.json,All seed-specific expert config and checkpoint hashes match the DEV lock.
dynasemble_boundary,MKG-W,NativE + AdaMF-MAT,DynaSemble,D05,Any provenance-only lock rebind did not inspect TEST or change method/hyperparameters,PASS,outputs/paper_a_safe_correction/boundary_pairs/mkg_w/native_adamf/dynasemble/lock.json,provenance_rebind_count=1; each rebind marks test_outcomes_read=false and method_or_hyperparameter_changed=false and records the verified execution-critical hashes.
grouped_folds,DB15K,NativE + AdaMF-MAT,Query-soft / Anchored / core ablations,F01,All seeds and both directions of an original triple share one grouped DEV fold,PASS,outputs/db15k/anchored_dynamic/native_adamf_seed123/baseline_crossfit/dev_crossfit_query_rows.csv,"Validated 7,922 original-triple clusters and 47,532 observations; each cluster has 3 seeds x 2 directions in one fold."
boundary_static_query_soft_anchored,DB15K,NativE + AdaMF-MAT,Global alpha,G01,Global alpha is determined from DEV only and inherited unchanged,PASS,outputs/db15k/anchored_dynamic/native_adamf_seed123/full_ranking/selection.json | outputs/db15k/anchored_dynamic/native_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/dev_lock/anchored_dev_lock.json,selection_sha256=cce837ceb70ef765e6cc0ac6230b6a5241a7167e10621cb205339dbaa767c499; global_alpha=1.0; lock_alpha0=1.0; DEV source hash match=True.
boundary_static_query_soft_anchored,DB15K,NativE + AdaMF-MAT,Anchored Dynamic,A01,Anchored beta and confidence threshold are selected using DEV only,PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/dev_lock/anchored_dev_lock.json | outputs/db15k/anchored_dynamic/native_adamf_seed123/full_ranking/dev_query_rows.csv | outputs/db15k/anchored_dynamic/native_adamf_seed123/full_ranking/selection.json | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/dev_lock/anchored_model.pkl,selection_boundary='all fitting and hyperparameter selection use DEV only'; beta=0.5; threshold=0.2.
boundary_static_query_soft_anchored,DB15K,NativE + AdaMF-MAT,Query-soft / Anchored Dynamic,A02,"Feature schema, model pair, seeds, alpha grid, and locked parameters match between DEV lock and TEST apply",PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/dev_lock/anchored_dev_lock.json | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/test_anchored/test_locked_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/test_anchored/test_locked_summary.json,"feature_schema_match=True; alpha_grid_match=True; policy_mirror_match=True; rows=59,412; row_metadata_problems=none."
boundary_static_query_soft_anchored,DB15K,NativE + AdaMF-MAT,Global / Query-soft / Anchored Dynamic,A03,TEST apply uses the exact frozen base score/rank assets,PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/test_full_ranking/test_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/test_anchored/test_locked_query_rows.csv,"Matched 59,412 TEST observations over ranks, reciprocal ranks, Global alpha, and all 21 exact-ranking alpha-grid RR columns."
boundary_static_query_soft_anchored,DB15K,NativE + AdaMF-MAT,Anchored Dynamic,A04,An immutable DEV lock is consumed before TEST evaluation,PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/dev_lock/anchored_dev_lock.json | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/dev_lock/anchored_model.pkl | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/anchored/test_anchored/test_locked_summary.json,TEST summary embeds an exact copy of the DEV policy; locked model and selection hashes match. The immutable apply path cannot produce this summary without loading the lock.
dynasemble_boundary,DB15K,NativE + AdaMF-MAT,DynaSemble,D01,One selector per paired seed is trained on DEV only,PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/lock.json | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/dev_query_rows.csv | outputs\paper_a_safe_correction\boundary_pairs\db15k\native_adamf\dynasemble\selectors\seed1.pt | outputs\paper_a_safe_correction\boundary_pairs\db15k\native_adamf\dynasemble\selectors\seed2.pt | outputs\paper_a_safe_correction\boundary_pairs\db15k\native_adamf\dynasemble\selectors\seed3.pt,training_split=dev_only; three seed-specific selector hashes match; TEST excluded from training/selection.
dynasemble_boundary,DB15K,NativE + AdaMF-MAT,DynaSemble,D02,TEST consumes the immutable DEV lock without configuration drift,PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/lock.json | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/dev_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/test_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/test_summary.json | outputs/db15k/anchored_dynamic/native_adamf_seed123/full_ranking/selection.json | docs/protocols/paper_a_boundary_pair_protocol.md,lock_sha256=3d4fa52b6646e2762415fb8be9fc26c72cef6c0df9f4cf88bfe0e6975c8ed7cd; summary_lock_match=True; method_config_match=True; Global selection hash match=True; protocol hash match=True.
dynasemble_boundary,DB15K,NativE + AdaMF-MAT,DynaSemble,D03,"TEST model pair, seeds, selector hashes, Global alpha, and exact base ranking inputs match the DEV lock",PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/lock.json | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/test_query_rows.csv | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/test_summary.json | outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/test_full_ranking/test_query_rows.csv,"Validated 59,412 TEST rows; exact-reference rank mismatches=0; max RR error=0; reference hash match=True."
dynasemble_boundary,DB15K,NativE + AdaMF-MAT,DynaSemble,D04,Frozen base-model run assets match the hashes recorded before TEST,PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/lock.json,All seed-specific expert config and checkpoint hashes match the DEV lock.
dynasemble_boundary,DB15K,NativE + AdaMF-MAT,DynaSemble,D05,Any provenance-only lock rebind did not inspect TEST or change method/hyperparameters,PASS,outputs/paper_a_safe_correction/boundary_pairs/db15k/native_adamf/dynasemble/lock.json,provenance_rebind_count=1; each rebind marks test_outcomes_read=false and method_or_hyperparameter_changed=false and records the verified execution-critical hashes.
core_ablation,ALL,ALL,Core ablations,C01,Matched core ablations inherit Full's DEV-selected parameters and do not search ablation-specific hyperparameters,PASS,outputs/paper_a_safe_correction/core_ablation/audit.json | scripts/ablate_paper_a_core_safety_components.py,"Matched-contract validation passed; no base retraining, TEST selection, or ablation-specific hyperparameter search."
risk_coverage,ALL,ALL,Anchored Dynamic diagnostic,R01,TEST is not used to select a figure operating point or modify the fallback threshold,PASS,outputs/paper_a_safe_correction/risk_coverage/audit.json,fixed_coverage_grid=True; test_used_for_selection=False; test_is_diagnostic_only=True; threshold_modified=False.
negative_transfer,ALL,ALL,Global / Query-soft / DynaSemble / Anchored,N01,TEST safety metrics are final analysis only and do not select methods or thresholds,PASS,outputs/paper_a_safe_correction/negative_transfer/bootstrap_ci.json,no_training=True; no_test_driven_changes=True; test_final_only=True.
confidence_harm,ALL,ALL,Anchored confidence diagnostic,H01,"Harm is counterfactual raw bounded correction, and TEST is diagnostic only",PASS,outputs/paper_a_safe_correction/confidence_harm/auroc_auprc.json,"Confidence threshold is disabled; non-finite fallback only; strict raw-bounded-vs-Global harm label; TEST diagnostic-only; all source, lock, and output hashes match."
beta_sensitivity,ALL,ALL,Anchored beta diagnostic,B01,Beta sensitivity varies only the predeclared trust-region radius; TEST does not select beta,PASS,outputs/paper_a_safe_correction/beta_sensitivity/beta_sensitivity_audit.json,Formal grid is 0.05-0.50; beta=1.0 is diagnostic-only; selection remains the DEV lock; theoretical and core-ablation reproduction checks pass; all source/lock/output hashes match.
global_information_boundary,ALL,ALL,ALL,L01,"TEST is never used to choose primary, beta, threshold, orientation, pair, or figure operating point",PASS,docs/protocols/paper_a_dynasemble_four_pair_protocol.md | docs/protocols/paper_a_boundary_pair_protocol.md | docs/protocols/paper_a_reliable_primary_protocol.md | scripts/eval_heterogeneous_complementarity.py | scripts/crossfit_anchored_dynamic.py | scripts/lock_apply_anchored_dynamic.py | scripts/eval_openbg_dynasemble.py | scripts/audit_reliable_primary_regime.py,Protocols and implementations explicitly separate DEV-only selection from locked/immutable TEST apply; method-specific checks independently validate the resulting hashes and parameters.
